Identificador,Alinhamento,Autorizações,Comercialização,Depósito,Derivados,Detalhamento do efeito,Detalhamento forma de uso,Diagramação,Discursos de autoridade,Doença mencionada,Dúvidas,Elementos de composição,Extras,Hieraquia da informação,ID,Informações indicativas,Link,Menções a lugares,Observações,Origem,Original (primeira aparição),Palavra-chave efeito,Palavras-chave produto,Preço,Primeiras palavras do anúncio,Produto ofertado (título completo),Produção,Público mencionado,Quantidade de variações tipográficas (aprox.),Responsável técnico,Sinal visual de autoridade,Status,Substâncias,Tipificação da imagem (aprox.),Tipo de produto,Variação tipográfica,Variação typeface
grageas_doutor_marsh,"Centralizado, Justificado esquerda",Ausente,VENDE-SE NAS PRINCIPAES PHARMACIAS,"Deposito geral: G. Nicolle & Cª., 9 bis rua Albony PARIZ",,Mencionado,Ausente,1 coluna,Importado,"Areias uricas, Calculos, Colicas nephreticas, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Molestias da bexiga, Molestias das vias urinarias, Nocystite, Perdas Brancas, Retenção das urinas, Rheumatismo, etc",,Ausente,Introduziu na Europa,"Corpo do texto, Subtítulo, Título principal",75,"Comercialização, Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1jJERdzmcHWLwpMHZSlchN7p8hODU5cMY/view?usp=drive_link,"Europa, India, Pariz [Paris]",,Indefinido,,"Acção certa [moléstias], Contra [a moléstia as moléstias]","Conhecido há séculos, Poderoso(a), Remedio secreto, Tonico-anticatharal",-,Nome do produto,Graceas do Doutor Marsh,-,Ausente,9,Dr. Marsh,Ausente,Finalizado,Sablina,Ausente,Gragea,"Bold, Caixa alta, Expandido, Itálico, Regular, Versalete","Fantasia, Serifa"
escrophulas,Justificado esquerda,Ausente,Na rua dos Andradas (2ª escola publica) se dirá quem possue a receita,-,,Ausente,Ausente,1 coluna,Ausente,Escrofula (escrophulasa scrophulas escrophulas escrofulose),,Clichê,Nenhum,"Corpo do texto, Título principal",76,"Segredo, [rua] se dirá [ ]",https://drive.google.com/file/d/1_su6bMoNVzVeK4s5Zym1C540Kg8mOxg0/view?usp=drive_link,Nenhum,,Indefinido,,Ausente,"Eficaz (efficacissimo), Infalivel (infallivel)",-,[Moléstia],Sem nome,-,Ausente,2,Ausente,Ausente,Finalizado,Ausente,Forma geométrica,Indefinido,Regular,Serifa
vermifugo_b_a_fahnestock,"Centralizado, Justificado esquerda",Ausente,-,-,,Mencionado,Ausente,1 coluna,"Apelo ao antigo longevo, Detalhes dos sintomas, Produto original","Apparença doentia e palida, Dores do abdomen, Espasmos, Hinchação, Molestias causadas pelos vermes, Molestias de impurezas no sangue",,Ausente,Medidas anti-falsificação,"Corpo do texto, Título principal, Título secundário",77,Responsável técnico/preparado por/Pharmaceutico,https://drive.google.com/file/d/15tN_1ktDSh7J_MOBmKOdH_F5cSzyJHZ7/view?usp=drive_link,"EUA, Pittsburgh",,"Estrangeiro, Inferido",,Ausente,Remedio soberano,-,Nome do produto,Vermifugo de B. A. Fahnestock,-,"Crianças (creanças), Pais e mães",5,J. E. SCHWARTZ & CO. sucessores de B. A. Fahnestock's Son & Co.,Ausente,Finalizado,Ausente,Ausente,Vermifugo,"Bold, Caixa alta, Expandido, Regular","Sem serifa, Serifa"
licor_concentrado_alcatrao_a_silva_bittencourt,"Centralizado, Justificado esquerda",Exma Junta de Hygiene Publica,-,Rua d’Ajuda n. 69 PHARMACIA - RIO DE JANEIRO,,Mencionado,Detalhado,1 coluna,Recomendado/attestado por especialistas,"Bronchites (bronchitas), Catharros vesicaes, Retenção de urinas, Tossas [tosse] [tosses], Tísica pulmonar, etc",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal",78,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1X7ImR-A8hYp3MnQhOj_eHLr02LqgPtBj/view?usp=drive_link,Rio de Janeiro,-,Indefinido,,Vantagens reaes,"Eficaz (efficacissimo), Licenciado, Seguro",-,Produto,Licor Concentrado de Alcatrão,-,"Adultos, Crianças (creanças)",5,A.Silva Bittencourt,Ausente,Finalizado,Alcatrão,Ausente,Licor,"Bold, Regular, Versalete",Serifa
o_maior_successo_da_epoca_petrolectrina,Centralizado,Ausente,-,Na cidade de Campos CASA INGLEZA DE HENRIQUE SPITTLE,,Ausente,Ausente,1 coluna,Apelo a popularidade,"Dores de dente, Dores sciaticas, Nevralgia [facial] [em geral], Rheumatismo",,Ausente,Oferece outro produto,"Corpo do texto, Nota de rodapé, Título principal, Título secundário",79,Depósito,https://drive.google.com/file/d/1sWtrge0SZhtNWTFmuJfYuozqfXYZOLXi/view?usp=drive_link,Campos,"Tambem tem grande quantidade do afanado KEROSENE INEXPLOSIVO colorido e desinfectado
—
Preços sem competencia",Indefinido,o_maior_successo_epoca_rhaumatismo (https://www.notion.so/o_maior_successo_epoca_rhaumatismo-27dd075ca7128000b5c9f92101f41349?pvs=21),Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),"Garantido, Infalivel (infallivel)",-,Maior sucesso,Petrolectrina,-,Ausente,9,Ausente,Ausente,Finalizado,Petrolectrina (Pectrolectrina),Ausente,Indefinido,"Bold, Caixa alta, Condensado, Regular, Versalete","Sem serifa, Serifa"
molestias_da_pelle_licor_vegetal_depurativo_ferreira_barreto,"Centralizado, Justificado esquerda",Ausente,-,-,,Mencionado,Ausente,1 coluna,Ausente,"Boubas, Darthros, Erupções cutaneas, Impingens (empingens empigens), Impureza no sangue, Rheumatismo",,Ausente,Nenhum,"Corpo do texto, Título principal, Título secundário",80,"Produção, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/15xZe0rSPf6haqCz6XQy4NC1q1w7Rk9xk/view?usp=drive_link,Nenhum,-,"Inferido, Nacional",,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),"Agente, Depurativo (ação depurativa), Depurativo do sangue, O melhor, Poderoso(a), Purificador do sangue",-,[Moléstia],Licor vegetal depurativo do Dr. Ferreira Barreto,Prepara-se na PHARMACIA EZEQUIEL 70 - Rua do Concelho - 70,Ausente,5,Dr. Ferreira Barreto,Ausente,Finalizado,Ausente,Ausente,Licor,"Bold, Expandido, Regular",Serifa
empigens_darthros_pilulas_sulphurosas,"Centralizado, Justificado esquerda",Ausente,-,-,,Mencionado,Ausente,1 coluna,Ausente,"Erupções cutaneas, Impingens (empingens empigens), Manchas, Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas], etc",,Ausente,Nenhum,"Corpo do texto, Título principal, Título secundário",81,"Produção, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/16R0LC0HleEwF7z_8FDpqqtQjK9hUzgLd/view?usp=drive_link,Campos,-,"Inferido, Nacional",,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),"Eficaz (efficacissimo), Infalivel (infallivel)",-,[Moléstia],Pílulas sulphuurosas e depurativas da formula do Dr. Ferreira Barreto,Preparadas na PHARMACIA EZEQUIEL 70 - Rua do Concelho - 70 CAMPOS,Ausente,5,Dr. Ferreira Barreto,Ausente,Finalizado,Ausente,Ausente,Pilula,"Bold, Caixa alta, Expandido, Regular",Serifa
vinho_extracto_figado_bacalhao_chevrier,Centralizado,Academia de Medicina de Paris,-,"Deposito geral PARIS 21, Faubourg Montmartre, 21

Depositos em todas as Pharmacias acreditadas do BRAZIL",tonico_por_excellencia (https://www.notion.so/tonico_por_excellencia-280d075ca712802da078f38908d7f215?pvs=21),Detalhado,Mencionado,Composição dinâmica,"Apelo a eficiencia, Qualidade dos ingredientes, Recomendado/attestado por especialistas, Vantagem sobre outros","Anemia, Chlorose [chlorosis], Convalescencias lentas, Debilidade (Desbilidade), Escrofula (escrophulasa scrophulas escrophulas escrofulose), Rachitismo",,"Bigode, Clichê, Moldura decorada",Nenhum,"Composição dinâmica, Corpo do texto, Nota de rodapé, Subtítulo, Título principal",82,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1ZG6Ub9nNGperlzFJI_1MYBuVyjS37unx/view?usp=drive_link,"Brazil [Brasil], Pariz [Paris]",,"Estrangeiro, Inferido",,"Empregadas nos [moléstias], Gosto que satisfaz, Regenerador",Tonico,-,Adjetivos do produto,Vinho de extracto de figado de bacalhao de A. Chevrier,-,Ausente,13,A. Chevrier (Chevrier),Ausente,Finalizado,Oleo de figado de bacalhau,"Animal, Peixe",Vinho,"Bold, Caixa alta, Expandido, Itálico, Regular","Sem serifa, Serifa"
epilepsia_hysteria_convulsoes,Centralizado,Ausente,-,Em todas as principaes Pharmacias,,Mencionado,Ausente,2 colunas,Ausente,"Convulsões, Epilepsia, Hysteria, Molestias nervosas",,"Bigode, Clichê, Fios, Moldura decorada",Nenhum,Composição dinâmica,83,"Comercialização, Depósito",https://drive.google.com/file/d/1MIighBxDy0DsG3nfIvXURiJtUjJgRMDj/view?usp=drive_link,Pariz [Paris],"Não fica claro se Laroyenne é o produtor, uma substancia, uma região",Indefinido,,"Allívio sempre, Cura quasi sempre",Ausente,-,[Moléstia],Solução antinervosa de Laroyenne,-,Ausente,9,Ausente,Ausente,Finalizado,Ausente,"Figura Humana, Homem caido no chão",Solução antinervosa,"Bold, Caixa alta, Condensado, Itálico, Regular, Versalete",Serifa
cognackina_cognac_velho_ardura,Centralizado,Ausente,-,-,"fortificante_anti-febril_cognackina_em_pé (https://www.notion.so/fortificante_anti-febril_cognackina_em_p-27dd075ca712807bbab8e0da880217ef?pvs=21), CognackinA_inciais_gigantes (https://www.notion.so/CognackinA_inciais_gigantes-27dd075ca71280dab0d9c812ddade774?pvs=21)",Detalhado,Ausente,1 coluna,Ausente,Ausente,,Moldura,Destinado ao sucesso,"Corpo do texto, Subtítulo, Título principal",84,Responsável técnico/preparado por/Pharmaceutico,https://drive.google.com/file/d/1sJs1oxhpcmqS6AmtoXefLBF_3ruhWJWl/view?usp=drive_link,"Blaye, Cognac, França",-,"Estrangeiro, Inferido",,Ausente,"Antifebril, Aperitivo, Delicioso, Digestivo, Fortificante",-,Nome do produto,"Cognackina ",-,"Crianças (creanças), Idosos [""velhos""], Mulheres (senhoras)",11,A. Ardura,Ausente,Finalizado,Cognac velho,Ausente,Licor,"Bold, Caixa alta, Expandido, Itálico, Regular","Sem serifa, Serifa"
empobrecimento_do_sangue_ferro_bravais,"Centralizado, Justificado esquerda",Ausente,"Vende-se em frascos e meios frascos
—
Venda em grosso em casa de BOUTRON E Cª. Rua St-Lazare, 40 & 43, em Paris",DEPOSITOS EM TODAS AS PRINCIPAES PHARMACIAS,,Detalhado,Mencionado,Composição dinâmica,"Apelo ao rendimento do produto, Vantagem sobre outros","Anemia, Chlorose [chlorosis], Côres pallidas, Empobrecimento do sangue",,Moldura decorada,"Medidas anti-falsificação, Prospecto [directorio]","Corpo do texto, Título principal, Título secundário",85,"Comercialização, Depósito",https://drive.google.com/file/d/1ziXQ-ZgB3jWObpvHtG46DQ_Mu6Blsq57/view?usp=drive_link,Pariz [Paris],"O Sãr BRAVAIS só pode garantir a efficacia do ferro de que é o inventor, quando os rotulos dos frascos tiverem a sua assignatura impressa com tinta encarnada.
—
Algumas gôttas por dia bastam para restabelecer a saúde em pouco tempo
—
O frasco inteiro pode durar de um mez à seis semanas, importando o tratamento em alguns reis por dia",Indefinido,ferro_bravais_empobrecimento_sangue (https://www.notion.so/ferro_bravais_empobrecimento_sangue-279d075ca7128058b2fdcbb450955f8a?pvs=21),"Nunca ennegrece os dentes, Não dá mau gosto [liquido], Não produz [algo], Restabelecer a saúde","Mais barato, Mais enérgico, Não tem cheiro, Precioso, Sem Cheiro, Sem Sabor",-,[Moléstia],Ferro bravais,-,Ausente,9,Sñr Bravais,Ausente,Finalizado,Ferro,Ausente,Ferruginoso,"Bold, Caixa alta, Itálico, Versalete","Sem serifa, Serifa"
fortificante_anti-febril_cognackina_em_pé,Centralizado,Ausente,-,-,,Detalhado,Ausente,Composição dinâmica,Ausente,Ausente,,"Bigode, Fios, Ornamento",Destinado ao sucesso,Composição dinâmica,86,Responsável técnico/preparado por/Pharmaceutico,https://drive.google.com/file/d/11criRgER7tJPs63vUpvy0M1yLQa8-TcV/view?usp=drive_link,"Blaye, Cognac, França",-,"Estrangeiro, Inferido",cognackina_cognac_velho_ardura (https://www.notion.so/cognackina_cognac_velho_ardura-27dd075ca712800c8b46c6fa7258afc8?pvs=21),Ausente,"Antifebril, Aperitivo, Delicioso, Digestivo, Fortificante",-,Adjetivos do produto,Cognackina,-,"Crianças (creanças), Idosos [""velhos""], Mulheres (senhoras)",15,A. Ardura,Ausente,Finalizado,Cognac velho,Ausente,Licor,"Bold, Caixa alta, Condensado, Expandido, Itálico, Regular, Versalete","Sem serifa, Serifa"
thesoiro_garganta_pastilhas_gicquel,Centralizado,Ausente,"Venda em atacado em casa de A. Gicquel, Pharmaceutico de 1ª classe, 4 rue Delaroche, em PARIS",DEPOSITOS Em todas as principaes Pharmacias,,Mencionado,Detalhado,1 coluna,Ausente,"Amygdalites, Anginas, Aphonia, Escorbuto, Esquinencia, Estomatite ulcerosa, Gangrena da Bocca, Group, Molestias da garganta, Salivação mercurial, Siphilis [Siphylis] [enfermidades syphiliticas], etc",,"Bigode, Clichê original, Moldura","Fac-simile da caixa, Medidas anti-falsificação","Corpo do texto, Título principal",87,"Comercialização, Depósito",https://drive.google.com/file/d/1gI9lZSeyHD22lR1YeDClWja2Dk4iCMrL/view?usp=drive_link,Pariz [Paris],"São indispensaveis para as pessoas que uzam frequentemente da palavra
—
DESCONFIAR DAS CONTRAFAÇÕES E DAS IMITAÇÕES e exigir a verdadeira caixa cujo fac-similie dámos á Cima",Indefinido,,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),Eficaz (efficacissimo),-,Adjetivos do produto,Pastilhas de Gicquel ao CHORATO de POTASSA,-,Ausente,12,A. Gicquel,Assinatura,Finalizado,"Chlorato de Potassa, Sal do Bertholet","Ilustração, Representação fiel do produto",Pastilha,"Bold, Caixa alta, Condensado, Regular, Versalete","Caligráfico clichê, Sem serifa, Serifa"
oleo_ducoux_comprido,Centralizado,Ausente,-,"Depósito geral em Paris, 209, rua St-Denis DEPÓSITO em todas as Principaes Pharmacias.",oleo_ducoux_garrafa_no_meio (https://www.notion.so/oleo_ducoux_garrafa_no_meio-27dd075ca71280a981e4c5e0de24a288?pvs=21),Ausente,Ausente,Composição dinâmica,Ausente,"Anemia, Bronchites (bronchitas), Catarrhos, Chlorose [chlorosis], Defluxos, Doença peito",,"Clichê, Moldura decorada",Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal",88,Depósito,https://drive.google.com/file/d/19p83jleUWYkpH8Ohp8P1i7QjAxuE7p2K/view?usp=drive_link,Pariz [Paris],-,Indefinido,,Ausente,"Não causa desconfortos gástricos, Poderoso(a)",-,Nome do produto,Oleo Ducoux,-,Ausente,11,Ausente,Ausente,Finalizado,"Casca de laranja amarga, Oleo de figado de bacalhau, Quina","Garrafa, Ilustração, Representação do produto, Representação fiel do produto",Oleo,"Bold, Caixa alta, Condensado, Regular","Sem serifa, Serifa"
vinho_chassaing,Centralizado,Ausente,"Paris, Avenue Victoria, Nº 6 e em todas as principaes pharmacias",-,,Mencionado,Ausente,1 coluna,Apelo ao antigo longevo,"Consumpção, Convalescencias lentas, Dispepsia (dyspepsias), Falta de appetite (perda), Gastralgia, Indigestão, Magreza, Molestias estomago, Perda de forças, Vomitos",,Moldura decorada,Nenhum,"Corpo do texto, Subtítulo, Título principal",89,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/1Qhr4m3aoVSD4LqKNJz55lTqdBmzhZcVP/view?usp=drive_link,Pariz [Paris],"15 annos de sucesso
—
Chassaing ?",Indefinido,,Contra [a moléstia as moléstias],"Agente natural, Bi-digestivo, Indispensavel",-,Efeito do produto,Vinho bi-digestivo de Chassaing,,Ausente,9,Ausente,Ausente,Finalizado,"Diastase, Pepsina",Ausente,Vinho,"Bold, Caixa alta, Condensado, Versalete","Sem serifa, Serifa"
alcatrao_de_guyot_goudron,"Centralizado, Justificado esquerda",Ausente,Venda a varejo na mor parte das Pharmacias,-,,Detalhado,Ausente,1 coluna,"Apelo ao rendimento do produto, Recomendado/attestado por especialistas","Affecções das mucosas, Catarrhos da bexiga (bexigoa), Doenças dos pulmões",,"Clichê original, Moldura decorada",Medidas anti-falsificação,"Corpo do texto, Subtítulo, Título principal",90,"Comercialização, Produção, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1FIqJ3_UruD4LbVExjJfIe6fVaRTzxp5m/view?usp=drive_link,"Belgica, França, Hespanha (Espanha)",AUTHENTICO é vendido em vidros trazendo no rotulo e com trez cores a assinatura:,"Estrangeiro, Inferido",,"Aumenta o apetite, Levanta as forças, Purifica o sangue","Agradável, Eficaz (efficacissimo), Hygienica, Preservadora, Salutaríssima",-,Nome do produto,Alcatrão de Guyot,"Fabricação em atacado: Casa L. FRERE et CH. TORCHON, 19, rue Jacob, Paris",Ausente,5,GUYOT,Assinatura,Finalizado,Alcatrão,Assinatura,Indefinido,"Bold, Caixa alta, Condensado, Regular","Caligráfico clichê, Serifa"
vinho_xarope_dusart_moldura_quadrada,"Centralizado, Justificado esquerda",Ausente,"DUSART, Pharmaceutico de 1ª classe, 8, rue Vivienne, PARIS E nas principaes Pharmacias e Drogarias",-,,Detalhado,Ausente,1 coluna,Ausente,"Anemia, Colicas, Diarrhea (rebeldes), Indigestão, Tisica (Tysica)",,"Fios, Moldura decorada",Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal",91,"Comercialização/Depósito (dúbia), Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1jR8ocjodAayeIGQsdcOI3f1z1pY3p_Ps/view?usp=drive_link,Pariz [Paris],-,Indefinido,,"Abre apetite, Ação reconstituinte, Ação reparadora, Cicatrização, Dentição sem dor, Desenvolvimento do feto, Enriquece o leite, Favorece a alimentação, Formação do sangue, Formação dos músculos, Formação dos ossos, Fortalece, Sustenta as forças","Eficaz (efficacissimo), Preservativo, Reconstituinte [reconstituitivo]",-,Nome do produto,Vinho e xarope de Dusart de Lactophosphato de Cal,-,"""enfraquecidos pela idade"", Amas de leite, Crianças (creanças), Mulheres gravidas, Portadores/acometidos",8,Dusart,Ausente,Finalizado,Lactophosphato de cal,Ausente,"Vinho, Xarope","Bold, Caixa alta, Itálico, Regular, Versalete","Sem serifa, Serifa"
kananka_japao,"Centralizado, Justificado esquerda",Ausente,"8, Rua Vivienne, PARIS",-,,Mencionado,Ausente,Composição dinâmica,"Apelo a novidade, Importado, Qualidade dos ingredientes","Comichões, Efflorescencias da pelle, Espinhas",,"Bigode, Clichê, Clichê (2), Moldura decorada",Nenhum,"Corpo do texto, Subtítulo, Título principal",92,"Comercialização/Depósito (dúbia), Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1pdO8dI26QuvmyzBNTk8xOMZ1tATv1pEk/view?usp=drive_link,Pariz [Paris],-,"Declarado, Estrangeiro",,"Consolida, Faz desaparecer [moléstia]","Adoptada por toda sociedade elegante, Importada, Nova",-,Nome do produto,Kakanga do Japão,-,Ausente,7,Rigaud & Cª Perfurmistas,Ausente,Finalizado,Ausente,"Figura Humana, Garrafa, Mulher, Representação do produto",Agua,"Bold, Caixa alta, Itálico, Regular","Sem serifa, Serifa, Serifa clichê"
CognackinA_inciais_gigantes,Centralizado,Ausente,-,Depositos nas principaes Pharmacias,,Ausente,Ausente,Composição dinâmica,Ausente,Ausente,,Ausente,Destinado ao sucesso,Composição dinâmica,93,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1dJSXS8BE-chL4uPfdl-_9QXQR8RGMd64/view?usp=drive_link,"Blaye, Cognac, França",-,Indefinido,cognackina_cognac_velho_ardura (https://www.notion.so/cognackina_cognac_velho_ardura-27dd075ca712800c8b46c6fa7258afc8?pvs=21),Ausente,"Antifebril, Aperitivo, Delicioso, Digestivo, Fortificante",-,Nome do produto,Cognackina,-,"Crianças (creanças), Idosos [""velhos""], Mulheres (senhoras)",11,A. Ardura,Ausente,Finalizado,Cognac velho,Ausente,Licor,"Bold, Caixa alta, Condensado, Itálico, Regular, Versalete","Sem serifa, Serifa"
pilulas_vermifugas_santonato,Centralizado,Ausente,-,-,,Mencionado,Ausente,1 coluna,Ausente,Vermes,,Ausente,Nenhum,"Subtítulo, Título principal, Título secundário",94,Produção,https://drive.google.com/file/d/10AZ416HazMya-LJhmLCXr-rxMmTKKWLp/view?usp=drive_link,Nenhum,-,"Inferido, Nacional",,Contra [a moléstia as moléstias],Infalivel (infallivel),-,Produto,Pilulas VERMIFUGAS de Santonato de Sodio,Preparados unicamente Na pharmacia DELGADO 44 - Rua do Concelho - 44,Ausente,5,Ausente,Ausente,Finalizado,Santonato de sodio,Ausente,Pilula,"Bold, Caixa alta, Condensado, Regular",Serifa
molestias_peito_hypophosphitos,"Centralizado, Justificado esquerda",Ausente,Vendem-se nas principaes Pharmacias,-,,Detalhado,Ausente,1 coluna,Ausente,"Molestias peito, Molestias tuberculosas, Phthisica",,Clichê,Medidas anti-falsificação,"Corpo do texto, Nota de rodapé, Título principal, Título secundário",95,"Comercialização, Preço, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1IMb3qGk5kNwn_qi7hIgHmJlQSZXkjcKr/view?usp=drive_link,"França, Pariz [Paris]",vendem-se unicamente em frascos quadrados com o nome do doutor Churchill sobre o vidro.,"Estrangeiro, Inferido",,"Aumenta o apetite, Bem estar desusado, Curar [moléstia] (cura [moléstia]  cura-se [moléstia]), Fortalece, Suores noturnos cessão, Tosse diminui",Ausente,4 fr. por frasco em França,[Moléstia],Hypophosphitos do Dr. Churchill,"Os hypophosphitos que levão a narca de fabrica da Pharmacia SWANN, 12, rue Castiglione.",Ausente,8,Dr Churchill,Ausente,Finalizado,"Cal, Ferro, Hypophosphito, Soda",Ausente,Xarope,"Bold, Caixa alta, Itálico, Regular","Sem serifa, Serifa"
oleo_ducoux_garrafa_no_meio,"Centralizado, Justificado esquerda",Ausente,-,"Deposito geral em Paris, 209, rue Saint-Denis

Depositos nas principaes Pharmacias",,Detalhado,Ausente,2 colunas,"Apelo a popularidade, Apelo ao rendimento do produto, Qualidade dos ingredientes, Recomendado/attestado por especialistas","Anemia, Bronchites (bronchitas), Catarrhos, Chlorose [chlorosis], Defluxos, Diatesi estrumosa, Doença peito, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Tisica (Tysica)",,"Bigode, Clichê, Clichê (2), Moldura, Moldura decorada",Nenhum,"Composição dinâmica, Corpo do texto, Nota de rodapé, Título principal, Título secundário",96,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/10-xAL0CeeRi0f54GAKKzmlbxmjDsJOus/view?usp=drive_link,Pariz [Paris],,Indefinido,oleo_ducoux_comprido (https://www.notion.so/oleo_ducoux_comprido-27dd075ca712807bbed6dd3a5eba1dfb?pvs=21),Contra [a moléstia as moléstias],"Emprego fácil, Mais econômico, Não tem cheiro, Poderoso(a), Sem Sabor",-,Nome do produto,Oleo Ducoux,-,Ausente,15,Ducoux,Ausente,Finalizado,"Casca de laranja amarga, Ferro, Iodo, Oleo de figado de bacalhau, Quina","Garrafa, Representação fiel do produto",Oleo,"Bold, Caixa alta, Itálico, Regular","Sem serifa, Serifa, Serifa clichê"
chlorose_anemias_cores_FERRO_BRAVAIS,"Centralizado, Justificado esquerda",Ausente,"VENDA EN GROSSO Em Casa de Boutron & Cª 40, Rua St-Lazaro, Paris",DEPOSITOS em todas as PRINCIPAES PHARMACIAS,,Detalhado,Mencionado,1 coluna,"Apelo ao rendimento do produto, Vantagem sobre outros","Anemia, Chlorose [chlorosis], Côres pallidas, Empobrecimento do sangue",,Moldura decorada,"Medidas anti-falsificação, Prospecto [directorio]","Composição dinâmica, Corpo do texto, Nota de rodapé, Título principal",97,Comercialização,https://drive.google.com/file/d/19f68aKdkneEmh5KAUAwmiYj-1UreYnv2/view?usp=drive_link,Pariz [Paris],"O Sãr BRAVAIS só pode garantir a efficacia do ferro de que é o inventor, quando os rotulos dos frascos tiverem a sua assignatura impressa com tinta encarnada.
—
Algumas gôttas por dia bastam para restabelecer a saúde em pouco tempo
—
O frasco inteiro pode durar de um mez à seis semanas, importando o tratamento em alguns reis por dia",Indefinido,ferro_bravais_empobrecimento_sangue (https://www.notion.so/ferro_bravais_empobrecimento_sangue-279d075ca7128058b2fdcbb450955f8a?pvs=21),"Nunca ennegrece os dentes, Não dá mau gosto [liquido], Não produz [algo], Restabelecer a saúde","Mais barato, Mais enérgico, Precioso, Sem Cheiro, Sem Sabor",-,[Moléstia],Ferro Bravais,-,Ausente,12,Sñr Bravais,Ausente,Finalizado,Ferro,Ausente,Ferruginoso,"Bold, Caixa alta, Condensado, Itálico, Regular, Versalete","Sem serifa, Serifa"
verdadeiro_purgativo_le_roy,"Centralizado, Justificado esquerda",Ausente,-,-,,Ausente,Ausente,1 coluna,Universalmente,"Alteração dos humores, Molestias epidemicas",,"Fios, Moldura",Nenhum,"Corpo do texto, Nota de rodapé, Título principal",98,Produção,https://drive.google.com/file/d/1-2n_UG8hPg35VI1JH3KNpR7qdQrSnCy4/view?usp=drive_link,Pariz [Paris],Em Liquido ou em Pilulas,"Estrangeiro, Inferido",,Contra [a moléstia as moléstias],"Antigo, Universalmente usada, Verdadeiro",-,Nome do produto,Verdadeiro Purgativo Le Roy Liquido ou em Pilulas,"Se prepara exclusivamente na Pharmacia COTTIN, Genro de LE ROY Rua de Seine, 51, em Paris",Ausente,8,Le Roy,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Itálico","Sem serifa, Serifa"
pastilhas_gicquel,Centralizado,Ausente,Venda em atacado,Depositos nas principaes pharmacias,,Mencionado,Ausente,Composição dinâmica,Ausente,"Anginas, Aphonia, Croup, Etc., Molestias da garganta, etc",,"Bigode, Clichê original",Nenhum,"Composição dinâmica, Título principal",99,"Comercialização, Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/12N1WZiPBns-X4gDVwYngnihnrQ2PbAI6/view?usp=drive_link,Pariz [Paris],-,Indefinido,,Contra [a moléstia as moléstias],Ausente,-,Nome do produto,Pastilhas Gicquel,-,Ausente,13,A. Gicquel,Ausente,Finalizado,"Chlorato de Potassa, Sal do Bertholet",Ausente,Pastilha,"Bold, Caixa alta, Condensado, Itálico, Versalete","Fantasia clichê, Sem serifa, Sem serifa clichê, Serifa, Serifa clichê"
o_unico_vinho,Centralizado,Ausente,-,-,o_unico_vinho_gigante (https://www.notion.so/o_unico_vinho_gigante-280d075ca71280ff95befd8898c89857?pvs=21),Ausente,Ausente,1 coluna,Ausente,Ausente,,Moldura decorada,Mesmos resultados que o [produto],"Título principal, Título secundário, Título terciário",100,Responsável técnico/preparado por/Pharmaceutico,https://drive.google.com/file/d/16al41S8jtDqeG8ngi5aN8CFbPw6fb2AG/view?usp=drive_link,Nenhum,"Uzo produz os mesmos resultados que o do OLEO de FIGADO de BACALHAU
—
EXIGIR A ASSIGNATURA CHEVRIER",Indefinido,,Ausente,Unico,-,Medida anti-falsificações,Vinho ao extracto de figado de bacalhau Dr Chevrier,-,Ausente,10,A. Chevrier (Chevrier),Ausente,Finalizado,Oleo de figado de bacalhau,Ausente,Vinho,"Bold, Caixa alta, Condensado, Itálico, Regular, Versalete","Sem serifa, Serifa"
